id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
591333,Landing Page Submission,Organic Search,No,No,0,8.0,55,4.0,SMS Sent,Hospitality Management,Unemployed,No,No,No,No,No,No,13.0,15.0,Yes
610779,Landing Page Submission,Direct Traffic,No,No,0,2.0,547,2.0,Page Visited on Website,E-Business,Unemployed,No,No,No,No,No,No,,,Yes
653919,API,Referral Sites,No,No,0,6.0,208,6.0,Email Opened,,,No,No,No,No,No,No,14.0,13.0,No
643356,API,Google,No,No,0,2.0,234,2.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,12.0,15.0,No
581868,API,Google,No,No,0,9.0,127,1.8,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
632274,API,Chat,No,No,1,6.0,781,2.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
635328,Landing Page Submission,Google,No,No,0,4.0,257,4.0,Email Opened,Finance Management,,No,No,No,No,No,No,14.0,17.0,No
598065,Landing Page Submission,Google,No,No,0,2.0,252,2.0,Form Submitted on Website,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
629357,API,Google,No,No,1,5.0,883,5.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
592959,API,Google,No,No,1,2.0,1379,2.0,SMS Sent,,,No,No,No,No,No,No,15.0,15.0,No
648494,API,Direct Traffic,No,No,0,3.0,129,3.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,13.0,16.0,Yes
605434,Landing Page Submission,Direct Traffic,No,No,0,2.0,273,2.0,SMS Sent,Travel and Tourism,Unemployed,No,No,No,No,No,No,,,Yes
653987,API,Referral Sites,No,No,0,3.0,116,3.0,Email Opened,,,No,No,No,No,No,No,14.0,13.0,No
644129,Landing Page Submission,Google,No,No,1,4.0,1337,4.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
605849,API,Organic Search,No,No,1,3.0,1158,3.0,SMS Sent,,,No,No,No,No,No,No,,,No
623781,Landing Page Submission,Direct Traffic,No,No,0,2.0,1343,2.0,Email Opened,Finance Management,,No,No,No,No,No,No,,,Yes
635375,Landing Page Submission,Google,No,No,0,11.0,210,2.2,Page Visited on Website,Finance Management,,No,No,No,No,No,No,11.0,18.0,No
582135,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,16.0,16.0,No
659170,API,Google,No,No,0,2.0,1218,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,11.0,15.0,No
627804,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
581705,API,Organic Search,No,No,1,10.0,949,10.0,Email Opened,Travel and Tourism,Student,No,No,No,No,No,No,15.0,14.0,No
581886,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No
653879,Landing Page Submission,Google,No,No,1,7.0,472,1.75,Form Submitted on Website,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,20.0,Yes
656483,Landing Page Submission,Organic Search,No,No,1,4.0,1378,4.0,Had a Phone Conversation,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,17.0,No
588636,API,Google,No,No,0,2.0,195,2.0,Email Opened,,,No,No,No,No,No,No,15.0,15.0,No
632851,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
645523,API,Google,No,No,1,2.0,1606,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
584098,API,Google,No,No,1,5.0,1670,1.0,SMS Sent,,,No,No,No,No,No,No,15.0,15.0,No
606664,Landing Page Submission,Organic Search,No,No,0,11.0,4,11.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,,,Yes
652084,API,Google,No,No,0,2.0,369,2.0,Email Opened,,,No,No,No,No,No,No,14.0,15.0,No
654471,API,Chat,No,No,1,5.0,1387,1.67,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,17.0,Yes
611078,API,Organic Search,No,No,0,3.0,18,3.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
631155,API,Google,No,No,0,2.0,1409,2.0,Email Opened,,,No,No,No,No,No,No,,,No
633621,Landing Page Submission,Google,No,No,0,5.0,1669,5.0,Email Opened,Human Resource Management,,No,No,No,No,No,No,,,No
584574,Landing Page Submission,Direct Traffic,No,No,0,2.0,148,2.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,15.0,16.0,Yes
588115,API,Google,No,No,0,3.0,1152,3.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
606685,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
584754,Landing Page Submission,Google,No,No,0,4.0,18,4.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,12.0,18.0,No
603338,API,Organic Search,No,No,0,6.0,410,6.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
634529,Landing Page Submission,Google,No,No,0,6.0,365,3.0,Email Link Clicked,Marketing Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No
618413,Landing Page Submission,Google,No,No,1,5.0,178,5.0,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
602680,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
581130,Landing Page Submission,Google,No,No,1,5.0,1276,1.67,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
636274,Landing Page Submission,Google,No,No,0,5.0,66,2.5,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,13.0,17.0,Yes
627952,Landing Page Submission,Organic Search,No,No,0,4.0,5,4.0,SMS Sent,Media and Advertising,Unemployed,No,No,No,No,No,No,,,Yes
597167,Landing Page Submission,Direct Traffic,No,No,0,3.0,176,1.5,SMS Sent,Finance Management,,No,No,No,No,No,No,,,No
591108,API,Chat,No,No,0,2.0,1067,1.0,Email Opened,Operations Management,,No,No,No,No,No,No,11.0,15.0,Yes
639151,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,16.0,15.0,No
612869,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Marketing Management,Working Professional,No,No,No,No,No,No,,,No
651363,API,Google,No,No,0,2.0,193,2.0,SMS Sent,,,No,No,No,No,No,No,14.0,15.0,No
604690,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,124,1.0,Email Bounced,Rural and Agribusiness,,No,No,No,No,No,No,,,No
614037,Landing Page Submission,Direct Traffic,No,No,0,4.0,12,2.0,Email Opened,Services Excellence,Unemployed,No,No,No,No,No,No,,,Yes
655338,API,Referral Sites,No,No,0,1.0,153,1.0,Converted to Lead,,,No,No,No,No,No,No,14.0,13.0,No
588001,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Marketing Management,Working Professional,No,No,No,No,No,No,14.0,19.0,No
649316,API,Referral Sites,No,No,1,5.0,865,1.67,Chat Conversation,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,16.0,15.0,No
610590,API,Chat,Yes,No,0,0.0,0,0.0,Email Bounced,Select,Unemployed,No,No,No,No,No,No,,,No
588449,Landing Page Submission,Google,No,No,0,4.0,1370,4.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,15.0,16.0,No
580939,Landing Page Submission,Direct Traffic,No,No,1,5.0,1341,2.5,SMS Sent,"Banking, Investment And Insurance",Student,No,No,No,No,No,No,14.0,19.0,Yes
647980,Lead Import,Facebook,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,13.0,No
619003,API,Direct Traffic,No,No,1,8.0,1011,8.0,SMS Sent,,,No,No,No,No,No,No,,,No
629925,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,,,No
581574,API,Google,No,No,0,1.0,322,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No
646355,API,Google,No,No,1,5.0,954,1.67,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
622227,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,,,No
623158,Landing Page Submission,Direct Traffic,No,No,0,2.0,334,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
640752,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,,,No,No,No,No,No,No,15.0,15.0,No
648886,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
594984,Landing Page Submission,Direct Traffic,No,No,0,9.0,78,4.5,SMS Sent,Hospitality Management,Unemployed,No,No,No,No,No,No,,,No
650189,Landing Page Submission,Google,No,No,0,7.0,214,7.0,Email Opened,Marketing Management,,No,No,No,No,No,No,14.0,18.0,Yes
613148,Landing Page Submission,Google,No,No,0,5.0,497,5.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
631282,API,Google,No,No,1,5.0,1469,5.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,No
619523,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
618435,API,Google,No,No,1,3.0,168,1.5,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
612000,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
614226,Landing Page Submission,Google,No,No,0,5.0,286,5.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
589346,Landing Page Submission,Organic Search,No,No,0,3.0,452,3.0,Page Visited on Website,Human Resource Management,Unemployed,No,No,No,No,No,No,17.0,18.0,Yes
643477,Landing Page Submission,Google,No,No,0,4.0,255,4.0,Page Visited on Website,Business Administration,Unemployed,No,No,No,No,No,No,13.0,17.0,No
619246,Landing Page Submission,Google,No,No,1,3.0,304,3.0,SMS Sent,Operations Management,Working Professional,No,No,No,No,No,No,,,No
591425,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,0,2.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,13.0,17.0,Yes
617871,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Media and Advertising,Working Professional,No,No,No,No,No,No,,,No
634153,API,Google,No,No,1,2.0,673,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
597579,API,Organic Search,No,No,1,24.0,1527,24.0,Page Visited on Website,,,No,No,No,No,No,No,,,No
627632,Landing Page Submission,Google,No,No,0,3.0,31,3.0,SMS Sent,Human Resource Management,,No,No,No,No,No,No,,,No
611498,Landing Page Submission,Google,No,No,1,4.0,384,4.0,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
614570,Landing Page Submission,Direct Traffic,No,No,0,4.0,154,4.0,Page Visited on Website,Finance Management,Unemployed,No,No,No,No,No,No,,,No
597925,Landing Page Submission,Direct Traffic,No,No,1,2.0,64,2.0,SMS Sent,IT Projects Management,Unemployed,No,No,No,No,No,No,,,Yes
626890,Landing Page Submission,Organic Search,No,No,1,8.0,1015,2.67,Page Visited on Website,Media and Advertising,,No,No,No,No,No,No,15.0,17.0,Yes
647299,Landing Page Submission,Direct Traffic,No,No,1,2.0,277,2.0,SMS Sent,Healthcare Management,Unemployed,No,No,No,No,No,No,14.0,15.0,Yes
583622,Landing Page Submission,Direct Traffic,No,No,0,5.0,38,5.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,13.0,20.0,Yes
636420,Landing Page Submission,Google,No,No,1,4.0,786,4.0,Email Opened,Finance Management,Student,No,No,No,No,No,No,14.0,18.0,No
629658,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Hospitality Management,Unemployed,No,No,No,No,No,No,,,No
608963,Landing Page Submission,Organic Search,Yes,No,0,5.0,1067,5.0,Page Visited on Website,Media and Advertising,Unemployed,No,No,No,No,No,No,,,Yes
637105,Landing Page Submission,Google,No,No,0,7.0,324,2.33,Page Visited on Website,Finance Management,Unemployed,No,No,No,No,No,No,15.0,18.0,No
630088,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,358,2.0,Page Visited on Website,Services Excellence,,No,No,No,No,No,No,,,Yes
637169,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,No,No,No,No,No,No,15.0,19.0,No
598213,Landing Page Submission,Direct Traffic,No,No,0,1.0,273,1.0,Converted to Lead,,,No,No,No,No,No,No,,,No
591315,Landing Page Submission,Google,No,No,0,5.0,37,2.5,Email Opened,International Business,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
625303,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,No
587323,Lead Add Form,Reference,No,No,0,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
645714,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
635028,Lead Import,,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
616185,Landing Page Submission,Google,No,No,1,3.0,1637,3.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,No
653163,Landing Page Submission,Google,No,No,0,3.0,66,3.0,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,14.0,16.0,No
609072,Landing Page Submission,Google,No,No,1,3.0,380,3.0,SMS Sent,Marketing Management,,No,No,No,No,No,No,,,No
623780,API,Chat,No,No,1,3.0,62,3.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,16.0,No
594010,Landing Page Submission,Direct Traffic,No,No,0,3.0,178,1.5,SMS Sent,Finance Management,,No,No,No,No,No,No,,,Yes
615216,Landing Page Submission,Organic Search,No,No,1,6.0,1183,3.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,Yes
622322,Landing Page Submission,Direct Traffic,No,No,0,3.0,4,3.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,Yes
605216,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Finance Management,Working Professional,No,No,No,No,No,No,,,No
584385,API,Organic Search,No,No,1,9.0,1573,4.5,Form Submitted on Website,Operations Management,Unemployed,No,No,No,No,No,No,13.0,14.0,Yes
598319,Lead Add Form,Reference,No,No,1,,159,,,Marketing Management,Other,No,No,No,No,No,No,,,No
587703,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,913,2.0,SMS Sent,Business Administration,,No,No,No,No,No,No,13.0,16.0,Yes
633562,Landing Page Submission,Direct Traffic,No,No,0,2.0,504,2.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,Yes
605240,Lead Add Form,Reference,No,No,1,2.0,426,2.0,Email Opened,IT Projects Management,Working Professional,No,No,No,No,No,No,,,No
591354,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
583698,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,16.0,15.0,No
580013,Landing Page Submission,Google,No,No,0,5.0,72,1.67,Email Opened,Human Resource Management,Working Professional,No,No,No,No,No,No,13.0,20.0,No
586292,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,156,1.0,Email Bounced,Finance Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
630801,Lead Add Form,,No,No,1,0.0,0,0.0,SMS Sent,Operations Management,Student,No,No,No,No,No,No,,,No
581635,API,Organic Search,No,No,0,4.0,190,4.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No
608727,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
656729,API,Referral Sites,No,No,0,4.0,237,4.0,Email Opened,,,No,No,No,No,No,No,12.0,13.0,No
637438,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,15.0,15.0,No
657731,Landing Page Submission,Direct Traffic,No,No,1,1.0,891,1.0,Converted to Lead,Operations Management,Student,No,No,No,No,No,No,15.0,19.0,Yes
580262,Landing Page Submission,Google,No,No,1,4.0,1234,1.33,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,20.0,No
602472,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Student,No,No,No,No,No,No,,,No
610574,Landing Page Submission,Google,No,No,1,4.0,1563,4.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
609266,Landing Page Submission,Organic Search,No,No,0,3.0,1109,3.0,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,,,Yes
615013,Lead Add Form,Reference,Yes,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
629378,Landing Page Submission,Direct Traffic,No,No,1,4.0,940,2.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,Yes
602453,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Student,No,No,No,No,No,No,,,No
615679,API,Organic Search,No,No,1,6.0,1028,6.0,SMS Sent,,,No,No,No,No,No,No,,,No
594218,Landing Page Submission,Direct Traffic,No,No,1,3.0,1348,3.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,Yes
579925,API,Organic Search,Yes,No,0,3.0,38,3.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,16.0,16.0,No
602744,Landing Page Submission,Google,No,No,1,3.0,758,1.5,SMS Sent,Finance Management,,No,No,No,No,No,No,,,No
644087,Landing Page Submission,Google,Yes,No,1,5.0,777,5.0,Page Visited on Website,Business Administration,Unemployed,No,No,No,No,No,No,15.0,20.0,No
599039,Landing Page Submission,Google,No,No,0,7.0,1098,2.33,Converted to Lead,Business Administration,Unemployed,No,No,No,No,No,No,14.0,18.0,No
632940,Landing Page Submission,Google,No,No,1,5.0,1178,5.0,SMS Sent,Human Resource Management,Student,No,No,No,No,No,No,,,No
651866,Landing Page Submission,Google,No,No,0,6.0,779,3.0,Email Opened,E-Business,,No,No,No,No,No,No,13.0,18.0,No
656939,Landing Page Submission,Google,No,No,0,8.0,149,2.0,Chat Conversation,Finance Management,,No,No,No,No,No,No,14.0,18.0,Yes
633862,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
611186,Landing Page Submission,Direct Traffic,No,No,1,3.0,1136,3.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
649293,API,Google,No,No,1,9.0,833,9.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
627570,Landing Page Submission,Direct Traffic,No,No,1,3.0,1124,3.0,Email Opened,E-COMMERCE,Unemployed,No,No,No,No,No,No,,,Yes
605722,API,Google,Yes,No,0,3.0,368,3.0,SMS Sent,,,No,No,No,No,No,No,,,No
647654,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
627932,Landing Page Submission,Direct Traffic,No,No,0,2.0,271,2.0,Email Opened,Business Administration,,No,No,No,No,No,No,,,Yes
654613,Landing Page Submission,Direct Traffic,No,No,0,3.0,308,1.5,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,10.0,19.0,No
631641,Landing Page Submission,Google,No,No,1,4.0,1512,4.0,SMS Sent,Retail Management,Unemployed,No,No,No,No,No,No,,,No
590417,API,Organic Search,No,No,0,6.0,178,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,14.0,No
617701,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,,,No,No,No,No,No,No,,,No
595769,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
592664,API,Google,No,No,0,2.0,291,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
604651,Landing Page Submission,Direct Traffic,No,No,0,2.0,382,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
606653,Landing Page Submission,Direct Traffic,No,No,1,4.0,901,4.0,SMS Sent,Travel and Tourism,Unemployed,No,No,No,No,No,No,,,Yes
655224,Landing Page Submission,Direct Traffic,No,No,0,4.0,432,4.0,SMS Sent,Media and Advertising,,No,No,No,No,No,No,14.0,16.0,Yes
580819,API,Google,No,No,0,6.0,1458,2.0,Email Opened,,,No,No,No,No,No,No,16.0,15.0,No
602377,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
607795,Landing Page Submission,Direct Traffic,No,No,0,5.0,283,2.5,SMS Sent,Marketing Management,,No,No,No,No,No,No,,,Yes
590469,Landing Page Submission,Organic Search,No,No,1,7.0,467,7.0,Email Opened,Healthcare Management,Unemployed,No,No,No,No,No,No,15.0,15.0,Yes
653656,API,Organic Search,No,No,0,3.0,144,3.0,Email Opened,,,No,No,No,No,No,No,13.0,15.0,No
634036,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Marketing Management,Working Professional,No,No,No,No,No,No,,,No
620278,Landing Page Submission,Google,No,No,1,6.0,1049,3.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,,,No
645243,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,17.0,No
588631,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
660719,Landing Page Submission,Direct Traffic,No,No,0,1.0,305,1.0,Unreachable,Media and Advertising,Unemployed,No,No,No,No,No,No,13.0,17.0,No
630936,Landing Page Submission,Google,No,No,0,5.0,228,2.5,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
617361,API,Google,No,No,0,2.0,367,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,,,No
602204,Landing Page Submission,Direct Traffic,No,No,0,2.0,205,2.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,,,Yes
652641,API,Google,No,No,0,4.0,213,4.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
631489,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
623730,Landing Page Submission,Direct Traffic,No,No,0,4.0,266,4.0,Email Opened,Supply Chain Management,,No,No,No,No,No,No,,,Yes
591313,Landing Page Submission,Google,No,No,1,5.0,1862,5.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,20.0,No
653104,API,Organic Search,No,No,0,3.0,306,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
624090,Landing Page Submission,Google,No,No,0,4.0,103,4.0,Email Opened,Travel and Tourism,,No,No,No,No,No,No,,,No
647080,Landing Page Submission,Organic Search,No,No,0,3.0,107,3.0,Page Visited on Website,Supply Chain Management,,No,No,No,No,No,No,17.0,18.0,Yes
598819,API,Google,No,No,0,5.0,1548,1.0,Chat Conversation,Select,Student,No,No,No,No,No,No,,,No
587649,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
582621,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,1465,1.0,Email Bounced,Travel and Tourism,Unemployed,No,No,No,No,No,No,15.0,16.0,Yes
618235,Landing Page Submission,Direct Traffic,No,No,0,6.0,531,6.0,SMS Sent,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,Yes
652616,Landing Page Submission,Google,No,No,0,2.0,7,2.0,Converted to Lead,Operations Management,,No,No,No,No,No,No,13.0,16.0,No
617761,Landing Page Submission,Direct Traffic,No,No,1,7.0,1029,7.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
658856,API,Organic Search,No,No,0,7.0,471,2.33,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
630972,Landing Page Submission,Google,No,No,1,5.0,952,5.0,SMS Sent,Operations Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
634982,API,Chat,No,No,0,0.0,0,0.0,SMS Sent,,,No,No,No,No,No,No,14.0,15.0,No
635742,Landing Page Submission,Google,No,No,1,3.0,85,3.0,Email Opened,Finance Management,,No,No,No,No,No,No,12.0,18.0,No
